id,comment,rating,review_date,sentiment,es_confidence
659,dreamfit moratalaz is a big gym with lots of space and great stuff included like the sauna turkish bath and all group classes in one fee the cardio area has tons of machines so even when it s busy you ll usually find more free the instructors are amazing they are super motivating and full of energy my favourite classes so far are body pump latin dance cross and pilates but there are way more check the website haha they also have virtual classes which is a nice bonus i really like the gym overall it has everything i need just took off one star because it gets way too crowded especially the sauna and turkish bath i was excited for those but they re almost always packed crowded times 6 8 pm for the gym and honestly the sauna and turkish bath are full pretty much anytime i go i guess i ll have to start waking up early for the sauna also heads up if you want to pay a monthly sub make sure you have a spanish bank account otherwise you ll have to pay a full 31 day fee upfront,4,Hace 8 meses,positive,0.970579206943512
660,gosto mto da academia aparelhos bons novos e organizado o único problema é que geralmente tem mta gente mas isso n é culpa da academia hahaha,5,Hace un año,positive,0.0
661,my boyfriend invited me to workout in this gym one day and now i m on to my second month great location equipments and people gives me motivation to go everyday,5,Hace 2 años,positive,0.9343780875205994
662,lugar espetacular todo tipo de actividades que vc deseja em um só lugar e com sauna áreas livres e muita tecnologia e os funcionários muito atenciosos vá e confira,5,Hace 2 años,positive,0.9731420874595642
663,great spot clean gear nice outside section! note don t go at peak hours it gets crowded pretty quickly,5,Hace 2 años,positive,0.9169168472290039
664,ottima palestra super attrezzata una delle migliori dove mi sono inscritto,5,Fecha de edición: Hace un año,positive,0.9987940192222595
665,a melhor academia da região muito completa,5,Hace 2 años,positive,0.0
666,very big gym,5,Hace un año,positive,0.9955825209617615
667,good gym,4,Hace 3 años,positive,0.9488651156425476
669,nightmare fit,1,Fecha de edición: Hace 4 años,negative,0.0
