id,comment,rating,review_date,sentiment,es_confidence
497,clean and spacious huge gym machines and weights are clean and well maintained lots of cardio machines like the drinking water paid 8 euros for an hour of gym use nice podluck and entry system,5,Hace 6 años,positive,0.9346650838851929
498,by far the best gym franchise i ve been! all the staff members are kind and patient with you very helpful and reachable there are classes of anything and no matter the location you pick all of them will be spacious fresh and with all the perks great job! you should have more locations in madrid!,5,Hace 2 años,positive,0.9642933011054993
499,really great gym with a spacious layout and plenty of weight machines dumbbells and bars the variety of classes offered is excellent too the environment is welcoming and the service is top notch,5,Hace un año,positive,0.0
500,this gym has good equipment and good classes but it is smelly it smells like fish from the market below it and it s the worst thing to be exercising and breathing that smell in deeply! i had to quit,2,Hace 2 años,negative,0.0
501,dreamfit is the one of the best gym in this area and all the upgraded technology machines are available here for all kind of workout there are many daily session are that that you can enroll and group activities too gym area is so big even 100 people doing workout at the sometime and feels spaces gym staff is too helpful and kind its clean in lockeroom and workout area i loved it i will prefer the dreamfit over any other gym in this area,5,Hace 3 años,positive,0.0
502,please invest in a regular deep cleaning there is plenty of dust around the machines the dressing rooms are not regularly clean take your example from dreamfit sanse they do it perfectly!,1,Hace 2 años,negative,0.8989183902740479
503,too expensive without support to do exercises rightly with responsibility and caress the few stuffs it has are unfriendly and not helpful moreover in times of pandemic covid 19 the gym just focussed on their budget without any attention of the clients and situations,1,Hace 4 años,negative,0.0
504,nice gym and attentive staff ! was looking for a gym with sauna and hammam big roof top terrace with nice views to get some extra tan,4,Hace un año,positive,0.9635365009307861
505,great facilities and a lot of activities to choose from i ve been going since the opening and i m pretty happy!,5,Hace 8 años,positive,0.9883179068565369
506,favourite gym not just in madrid top 5 anywhere,5,Hace 2 años,positive,0.8640655279159546
509,very quite and scenic,4,Hace 2 años,positive,0.0
