id,comment,rating,review_date
2,el gym ya ah sido bastante bueno y ah hecho un cambio en máquinas y organización bastante geniales la verdad es un gym bastante moderno esta guay me gusta el diseño y todo tiene mejores maquinas nuevas que creo muchos anhelabamos se nota el gran trabajo y los monitores muy majos!!! la verdad llevo bastante tiempo ahi y la verdad a gusto espero no se tome a mal si no para mejor pero tristemente no hay control al recibir gente ya no se puede entrenar y siguen recibiendo !!!!!! por no decir que es casi imposible tener una máquina ahora hay que tener cuidado con los horarios que uno tiene para entrenar porque un entrenamiento de una hora puede ser 2 ojala me equivoque pero creo que no están teniendo conciencia con los aforos eso que hablo de dia porque por la noche tan solo ingresar y ver se nota que sera realemente imposible entrenar es una pena ojalá estén pensando en controlar eso elegir entre cantidad o calidad de entrenamiento ya eh visto a muchos cambiarse por esa razon y da pena porque es un buen gym ! espero cambie! todo lo demás genial !!!,3,Hace un mes
4,tras la reforma el diseño de iluminación ha empeorado ya que se puede hacer una luz estéticamente más bonita o generar otra imagen pero sobre una base de visibilidad que es lo lógico ya que en el gym se tiene que ver por seguridad y comodidad a la hora de trabajar éste cambio genera múltiples sombras que en muchos espacios apenas se ve y queda muy pobre cambios radicales de temperaturas de color en las luminarias entre otras cosas pasando altos grados kelvin a muy bajos los cuales se usan para inducir al sueño filtros neutros en las ventanas y reducción de lámparas de techo lo que genera una sensación de estar de noche entrenando y con un impulso a dormir independientemente a la hora diurna al entrar es muy incómodo ya que se ve muy mal y sobre todo por seguridad en la zona de pierna tienes que intuir ya que apenas se ve focos que se usan para exposiciones o pinturas de museos iluminacion puntual que nosé que objetivo tiene en un gym ciegan y no bañan el espacio es importante ya que no hay nada como la luz natural lamparas de luz fría y poder trabajar viendo claramente ya que no todos los que vamos al gym tenemos 20 años luz de discoteca o de gimnasio?!! el mural del solarium demasiado saturado y estresante intenso no relajante en body pump se ve poquísimo en cuanto llegue el invierno aunque vayas a las 9 de la mañana sentirás estar a las 8 de la tarde dentro no entiendo pq han empeorado la luz seria de agradecer lo valorarán ya que el resto de cambios han sido para bien y una cosa es ahorrar y la otra no ver ambas dos cosas son compatibles,3,Hace un mes
17,hola buenas tardes escribo para pedir por favor que en la aplicación aparezcan o aparezcan reflejados con la mayor veracidad posible los monitores que imparten cada clase para mi es importante esta información y vital como usuaria de clases colectivas ya que sí que existen diferencias entre cada monitor en cómo da la clase no es una cuestión caprichosa porque no todos lo hacen igual ni se implican igual ni tienen el mismo nivel como monitores o simplemente que puedas estar más a gusto con unos que con otros no tengo nada más que pedir poder elegir con quién entreno muchas gracias!,3,Hace 3 meses
26,sin más un gimnasio grande con muchas maquinas y muchísima gente los monitores imagino que estarán pendientes de sus clases pero no he asistido a ninguna no puedo opinar lo que no he visto nunca es a un monitor echando una mano a ningún usuario pues eso si te autogestionas bien si necesitas ayuda no es tu lugar,3,Hace 6 meses
76,coincido con algunas reseñas de que el sitio es grande pero por la cantidad de usuarios se hace pequeño hay cola para las máquinas y a veces cuesta caminar sin tropezar con alguien lo ideal es que se pudieran utilizar varias máquinas a la vez por lo menos dos para poder trabajar un grupo de músculos mientras descansa otro quizás sobren algunas máquinas como las elípticas y faltarían otras con mayor demanda algunos espacios están más concurridos y otros menos demandados quizás deberían estudiar una reestructuración de espacios y horarios en función de la demanda para minimizar las aglomeraciones sobre todo en ciertos horarios además como apuntan algunos algunas máquinas y algunos otros elementos del gimnasio se estropean y no se reparan rápidamente incluso los aseos han permanecido tiempo con los urinarios rotos sin que nadie de ocupe de repararlos finalmente yo lo he dejado pues no es de recibo que luego del precio que se paga haya que ir hacer colas para el equipamiento,3,Hace un año
86,hace ya año y medio que soy socia de este gimnasio posee buenas instalaciones muy completas y ofrecen muchísimas clases colectivas para elegir en cuanto al precio lo veo bastante razonable el personal resulta muy competente cercano y amable no dudan en ayudar siempre que se les solicite las clases colectivas son muy variadas y los monitores que las imparten están muy bien preparados personalmente creo que es lo mejor del lugar respecto a la limpieza y mantenimiento de las instalaciones ninguna queja siempre hay personal limpiando el lugar y no es raro encontrarlos por doquier si algo no me gusta del gimnasio es la música ambiente en mi opinión está demasiado alta lo que obliga a poner la música propia que muchos llevamos en nuestros móviles demasiado alta y por supuesto el otro problema es las horas puntas donde la afluencia de gente hace en algunas ocasiones dificil acceder a algunos recursos clases máquinas etc no obstante esto último es algo comprensible y que ocurre en cualquier gimnasio con una buena afluencia de público,3,Fecha de edición: Hace un año
103,gimnasio grande con buenas instalaciones aunque muy masificado especialmente por las tardes de l v y los festivos por la mañana ya que no abre por la tarde y cada día está más caro aún sin muchas mejoras aparentes las máquinas y las poleas se tiran rotas días e incluso semanas y no abre domingos ni festivos por la tarde cuenta con parking amplio y cómodo por el cc en el que está ubicado cuenta con posibilidad de servicio de entrenador personal pago aparte ya que los monitores no ayudan mucho solo dan las clases que tienen asignadas y colocan pesas muy típico en franquicias de este tipo además la climatización no suele estar muy acertada,3,Hace 2 años
105,clases colectivas e instalaciones muy bien pero no hay monitores en sala si le preguntas a alguno de los de recepción te remiten directamente a la aplicación aunque tú no sepas lo que te conviene y si no sabes hacer un ejercicio o como funciona una máquina pues mala suerte deberían mejorar este aspecto también las subidas de precio constantes que no vemos traducida en una mejora de los servicios,3,Fecha de edición: Hace un año
117,no está bien pedir reseñas positivas con regalito el gimnasio está demasiado masificado es difícil encontrar una hora en la que no esté hasta arriba de gente pensad en poner un aforo o ampliar una hora por la noche las tres estrellas son por el personal que son bien majos,3,Hace 2 años
141,el gimnasio como tal si me gusta sin embargo sus estrictas políticas sin tener en cuenta el cliente y su antigüedad me parece desagradable después de 5 años en dreamfit es comunico que por una cirugía importante que tenía que hacer y que se suspendiera temporalmente el cobro de mis cuotas se acuerda que puedo volver sin problemas cuando quiera ahora resulta que no solo he pagado por un mes que no he utilizado sino que dicen que no pueden respetar el precio que yo tenia cuando se había acordado todo!!! me siento engañado totalmente!!!,3,Hace 3 años
