id,comment,true_label,prob_negative
1048,no taaaaan,1,1.0
8787,por favor arregluen ya la barrera de entrada es una vergüenza que lleve mas de un mes estropeada que a mi eso personalmente me da igual pero se dedican a aparcar en nuestro parking los de la ciudad de ls raqueta maroto y el de la moto lo cual hace que ya no se pueda aparcar ni por la mañana estamos pagando el go fit más caro de todo madrid y lo mínimo a exigir es que el parking sea exclusivo si los pijos inutiles de las raquetas quieren aparcar que lo hagan en su super club nunca arreglais nada bien ni a tiempo y creais molestias innecesarias por favor lo arreglen ya,1,0.9882278647150834
12255,no e estado nunca hay,1,0.9795918918293325
9698,todo genial menos que en las clases no se respeta el aforo y siempre hay personas que no se molestan en reservar porque saben que van a entrar igual,1,0.9720929440801628
8488,es hermosoooo de todos los que visitado me parece que es el más bello pero quiero ir en verano porque me intriga el tema de la ventilación el calor y los olores porque no tiene ventanas,1,0.9684299404171591
1953,hay mucha gente en el gimnasio que no utiliza toalla y no descarga las máquinas menos mal que los monitores en especial irene están pendientes de que esto no suceda,1,0.9684299404171591
11226,un gimnasio muy completo el personal es simpatico los usuarios tranquilos y respetuosos y en años no ha habido problemas serios de limpieza o seguridad sin embargo recientemente he sido cliente casi 6 años me refiero a los últimos 2 ha ido a peor no responden sugerencias y pasan toda responsabilidad a la central las plataformas olimpicas están en un sitio que impide hacer jerks o snatches en la zona de power es imposible hacer press militar con barra si mides más de 1 70 y en las demás zonas hay demasiada congestión han ocupado el espacio exterior con máquinas que al mes se han oxidado y los monitores explican que como no es su decisión aunque saben que es un riesgo están a la espera de que pase algo para invertir en mantenimiento el volumen de la música es tan alto que produce migrañas las bancas no tienen seguro alguno no hay monitores supervisandolas y si fallas nadie oirá tus estertores de muerte por el tecno,1,0.9684299404171591
8734,cambio mi reseña por que ya han subido la temperatura del spa un grado más de pasar frio en verano a estar a gusto me alegro que hayan subido la temperatura de spa ahora en verano esta ideal por lo que cambio mi reseña y pongo 5 estrellas ‐ ‐ voy poner mala reseña porque es la única forma que hagan caso al gimnasio voy que es estupendo y el spa tambien lo era de hecho volvi a este gym por el spa pero el agua del spa que antes era maravilloso esta helada pase frío y estamos en verano ya había leído reseñas al respecto como no hacen nada al respecto pues dejo mi reseña hasta que solucionen la temperatura del spa porque no soy la única además de que antes estaba lleno y ahora casi casi vacio en hora punta me imagino que lo harán por eso para que no se masifique porque es bien desagradable tiritar en un spa en verano,1,0.9667911273547792
11790,muy buen gimnasio con continuas mejoras la gente se queja del aforo en ciertas horas del día pero es lo normal en cualquier lugar que vayas a esas horas osea que tampoco se entiende muy bien la queja lo que si que deberían tener en cuenta son los horarios si se abre hasta las 23 h no puede ser que a las 22 15 22 30 ya apaguen las televisiones apaguen generadores de aire te mueres del calor y casi te estén quitando las pesas para que te vayas hay gente que solo podemos entrenar a primera o última hora y nos gustaría poder hacerlo con total normalidad gracias,1,0.960180016243668
8755,pongo la reseña no por la calidad de las instalaciones que es muy buena sino por la calidad de la franquicia en el trato a sus clientes y cuento por qué me apunté de enero a abril de este año y por motivos de trabajo tuve que mudarme de madrid así que envié un mail para darme de baja a un mail equivocado como vi que me seguían pasando recibos tras dos meses me puse en contacto con ellos y me dijeron que me había equivocado en la dirección de mail facilitándome así el correcto yo ya di por perdido los dos pagos de más y contaba con un tercero por haberme dado de baja bien 3 meses más tarde pues hoy me han llamado que aunque me equivoqué en el mail claramente quise hacer efectiva la baja antes y me devuelven los meses que no he estado dice mucho de una gran franquicia cómo trata a cada individuo y pudiendo perfectamente haberme cobrado esos meses porque fue una equivocación mía han preferido el buen trato a sus clientes que el dinero,1,0.960180016243668
322,no está mal es un un poco pequeño y últimamente han dado muchas altas y hay horas que parece el corte inglés en rebajas tienes que estar esperando mucho tiempo para poder coger alguna máquina los operarios del gymn son todos muy amables y simpáticos pero los jefes solo quieren pasta pues nada más de lo mismo mucha gente y poco espacio,1,0.9583780856106175
13476,finalmente desde vivagym se pusieron en contacto conmigo y me han dejado entregar el informe médico vía online y congelar la cuota es una pena que únicamente dejen congelar la cuota tres meses como máximo ya que mi lesión probablemente con dos operaciones en el tobillo rotura de peroné tibia tocada ligamentos no me permita ir todavía en febrero que es hasta el máximo que me pueden congelar la cuota supongo que me tocará darme de baja para el mes de febrero y ya cuando pueda reincorporarme volver a entrenar que es lo que realmente tengo ganas agradezco que se hayan puesto en contacto conmigo hayan comprendido la situación y finalmente me hayan dado facilidades para entregar el papeleo digitalmente única pega que me hubiera gustado poder seguir vinculado sin tener que darme de baja muy posiblemente en febrero pero como digo agradezco que al menos hayan gestionado el asunto,1,0.9227628045256278
9546,mi mujer e hijo solo solemos ir por la tarde y por ello solo puedo dar referencias del equipo de tarde nos han cambiado la vida para muy bien no solo son unos grandes profesionales sino que personalmente dan el 200 estas nuevas generaciones de chavales sí que pueden cambiar el mundo y para bien enhorabuena y no dejéis que algún pequeño chubasco os fastidie un hermoso dia y por favor para el resto de usuarios si es posible y en la medida en lo que cada uno pueda no les dejemos la planta hecha un desastre a las 11 00 de la noche no se cómo pueden dar más de dos clases por día y aguantar hasta esa hora y ademas con una sonrisa siempre,1,0.9115116774056229
9508,gastamos 30 euros todos los meses en cosas mucho más dañinas la cuota es más que baja y las instalaciones modernas y cuidadas y sobre todo abundantes en la sala de cardio el sistema de reserva de clases garantiza que no haya aglomeraciones pierde una estrella porque creo que con las pautas que dan en las fichas no es suficiente para entrenar correctamente y porque le falta algún servicio complementario tipo sauna o similar,1,0.9115116774056229
6047,por 25€ al mes tienes de todo para hacer ejercicio se peta de gente pero vamos que si vas a entrenar se hace el entrenamiento,1,0.9093907866314979
